date,SKUCode,Description,total_qty
20260105,1325218515088HURP0,185/65 R15 UX ROYALE TL  88H,255
20260105,1325218515088HUTR0,185/65 R15 UX TOURING TL 88 H,512
20260105,1325218515088TURL0,185/65 R15 UX ROYALE TL  88T  YSD,2345
20260105,1325218614088HURL0,185/70R14 UX Royale,2935
20260105,1325218614088TVECE,185/70R14 Vectra,587
20260105,1325219316087VURL0,195/55R16 UX ROYALE TL  87V,725
20260105,1325219316087VURP0,195/55R16 UX ROYALE TL  87V Puncture Guard,1240
20260105,1325219316087VUTR0,195/55R16 UX TOURING TL,962
20260105,1325219416089HRHE0,195/60R16 Ranger HPE TL,1508
20260105,1325219515091VURL0,195/65 R15 UX ROYALE TL   91V,175
20260105,1325220316091VURL1,205/55 R 16 UX ROYALE TL  91V,664
20260105,1325220416092VURL0,205/60R16  UX ROYALE   TL  92V,400
20260105,1325220515094VURL1,205/65 R15 UX-ROYALE TL  94V SASO,238
20260105,1325220515094VUTR0,205/65R15 UX TOURING TL  94V,819
20260105,1325220515094VZEP0,205/65 R15 ZEPHYR  TL   94 V,92
20260105,1325220516095HTMX0,NA,703
20260105,1325220516095HUTR0,205/65R16UX TOURING TL 95H,150
20260105,1325221317098VUX10,215/55R17UX1 TL 98 V,868
20260105,1325221416095VURL0,215/60 R16 UX ROYALE TL YAD MC -MSIL ,1494
