date,SKUCode,Description,total_qty
20260104,1325221417100HURL1,215/60 R17 UX ROYALE TL    100H,3089
20260104,1325221715100SRHT0,215/75 R 15 RANGER HT TL,9036
20260104,1325221715100SRXT0,215/75 R 15 RANGER X-AT TL,534
20260104,1325222317101VUX10,225/55R17 UX1 101V ,2484
20260104,1325222417099HURL0,225/60R17 UX ROYAL 99H TL,607
20260104,1325223317103VUX10,NA,148
20260104,1325223517104HRHT0,235/65R17 RANHER HT TL,2420
20260104,1325223517104HRPG0,NA,1883
20260104,1325223616105HRHT0,235/70R16 Ranger HT TL,1236
20260104,1325223715105SRXT0,235/75 R 15 RANGER X-AT TL,1101
20260104,1325226517112HRHT0,265/65R17 RANHER HT 112H TL,1095
20260104,1425118916008QRBT0,185/85R16 RANGER BRUTE TT LT 105Q,1305
20260104,1D25115013008QXPC0,155 R13 ULTIMA XPC Q TT,885
20260104,1D25212812074FXC10,120/80 R 12 ULTIMA XPC 1 TL,30008
20260104,1D25212812086FXPC0,120/80R12 ULTIMA XPC TL,16103
20260104,1D25213812090FXPC0,130/80R12 ULTIMA XPC TL 90 F,21254
20260104,1D25215Z13008QXPC0,155R13 ULTIMA XPC  Q TL,2999
20260105,1225119015010QSTL0,195R15 LT STEEL KING TT  10 PR,103
20260105,1225121715115SSTL0,215 / 75 R 15 STEEL KING TT,1290
20260105,1225121716010SXC10,NA,996
20260105,1225121Z14112LSTL0,215 R14 STEEL KING TT,444
20260105,1225170015010LSTL0,7.00R15 STEEL KING TT 10PR,3797
20260105,1225170015012LSTL0,7.00R15 STEEL KING TT 12PR,15592
20260105,1225175016012NJTL0,7.50R16 LT JUH STEEL TT,98
20260105,1225219015008SLTB0,195/80R15 BRUTE LT 8PR S TL,788
20260105,1225219015010QSTL0,    195R15 LT STEEL KING TL  10 PR,274
20260105,1225220Z16008RXC10,205 R 16 ULTIMA XPC -1 TL,793
20260105,1225221715115SSTL0,215 / 75 R 15 STEEL KING TL,2051
20260105,1225221716010SXC10,NA,7917
20260105,1225222716121MXC11,225/75 R 16 ULTIMA XPC -1 TL VOLVO,352
20260105,1225222716121NXC11,NA,557
20260105,1225223516121PSKP0,235/65 R 16 STEEL KING+ TL,4635
20260105,1325114612069TUHL0,145/70R12 ULTIMA HILIFE69T TT,8251
20260105,1325114613071TTMX0,145/70 R 13 TAXIMAX TT  71T,548
20260105,1325114812074TUHL0,145/80R12 ULTIMA HILIFE TT 74T ,12369
20260105,1325119015008SRBT0,195 R15 LT RANGER BRT TT,1137
20260105,1325119815106QBRQ0,195 / 80 R15 BRUTE TT  ,9448
20260105,1325121715100SBRT0,215/75 R15 BRUTE 4X4 TT,1896
